czech_word	english_translation	czech_sentence	english_sentence
protože	because	Jsem doma, protože prší.	I am home because it is raining.
dítě	child	Dítě spí.	The child is sleeping.
ne	no	On řekl ne.	He said no.
takový	such / like that	To je takový malý dům.	It is such a small house.
vidět	to see	Chci vidět tátu.	I want to see dad.
říkat	to say / to tell	On mi to říká.	He tells it to me.
nic	nothing	Nemám nic.	I have nothing.
začít	to start	Chci začít dnes.	I want to start today.
život	life	Život je hezký.	Life is nice.
český	Czech	Mám český dům.	I have a Czech house.
místo	place	To je moje místo.	This is my place.
či	or	Čaj či káva?	Tea or coffee?
malý	small	Mám malý byt.	I have a small flat.
bez	without	Jsem tu bez auta.	I am here without a car.
ruka	hand	To je moje ruka.	That is my hand.
nějaký	some / any	Mám nějaký čas.	I have some time.
kdy	when	Kdy máš čas?	When do you have time?
sám	alone	Jsem doma sám.	I am home alone.
teď	now	Teď jdu domů.	Now I am going home.
pokud	if	Pokud prší, spím.	If it rains, I sleep.
dobře	well	Mám se dobře.	I am doing well.
dostat	to get	Chci dostat dárek.	I want to get a gift.
myslet	to think	Já taky myslím.	I think so too.
práce	work	Moje práce je tady.	My work is here.
pod	under	Pes je pod stolem.	The dog is under the table.
strana	side	To je jiná strana.	That is another side.
svět	world	Svět je velký.	The world is big.
tedy	so / therefore	Nejsi tu, tedy jdu.	You are not here, so I am going.
přijít	to come	Chci přijít domů.	I want to come home.
například	for example	Mám rád psy, například Maxe.	I like dogs, for example Max.
vysoký	tall / high	Ten kluk je vysoký.	That boy is tall.
země	country / land	Je to malá země.	It is a small country.
tenhle	this one	Tenhle dům je můj.	This house is mine.
tři	three	Mám tři kočky.	I have three cats.
čas	time	Nemám čas.	I don’t have time.
dělat	to do	Co chceš dělat?	What do you want to do?
žena	woman	Ta žena je milá.	That woman is nice.
žádný	no / none	Nemám žádný plán.	I have no plan.
muž	man	Ten muž je tu.	That man is here.
případ	case	To je jiný případ.	That is a different case.
kdo	who	Kdo je to?	Who is it?
třeba	for example / maybe	Dej si třeba čaj.	Have a tea, for example.
starý	old	Dům je starý.	The house is old.
hlava	head	Moje hlava je velká.	My head is big.
několik	several	Mám několik koček.	I have several cats.
velmi	very	Je to velmi dobré.	It is very good.
oko	eye	To je moje oko.	That is my eye.
nad	above	Pták je nad domem.	The bird is above the house.
město	city	Praha je město.	Prague is a city.
poslední	last	Je to poslední kus.	It is the last piece.
cesta	journey / way	Cesta je dlouhá.	The journey is long.
některý	some	Některý dům je nový.	Some house is new.
asi	probably	Asi jsem doma.	I am probably home.
jaký	what kind of	Jaký je to dům?	What kind of house is it?
právě	just now	Právě jím.	I am just now eating.
přes	over / across	Jdu přes dům.	I go across the house.
dům	house	To je můj dům.	That is my house.
proto	therefore / so	Prší, proto jsem doma.	It is raining, so I am home.
věc	thing	To je moje věc.	That is my thing.
tu	here	Jsem tu.	I am here.
voda	water	Chci vodu.	I want water.
společnost	company	Je to velká společnost.	It is a big company.
najít	to find	Chci najít dům.	I want to find a house.
nikdy	never	Nikdy nepiju pivo.	I never drink beer.
již	already	Již jsem tady.	I am already here.
brzy	soon	Budu tam brzy.	I will be there soon.
část	part	To je malá část.	That is a small part.
což	which	Což je dobře.	Which is good.
udělat	to do / to make	Chci to udělat.	I want to do it.
vlastní	own	Mám vlastní auto.	I have my own car.
dokázat	to manage / prove	Ty to dokážeš!	You can do it!
chvíle	moment	Mám chvíli čas.	I have a moment of time.
systém	system	Ten systém je starý.	The system is old.
kdyby	if	Kdybych měl čas, jdu.	If I had time, I'd go.
hodina	hour	Mám jednu hodinu.	I have one hour.
proč	why	Proč jsi tady?	Why are you here?
stejně	anyway	Stejně tam nejdu.	I am not going there anyway.
takže	so	Prší, takže jsem doma.	It is raining, so I am home.
často	often	Často piju kávu.	I often drink coffee.
dnes	today	Dnes je hezky.	Today it is nice.
slovo	word	To je nové slovo.	That is a new word.
tady	here	Jsem tady.	I am here.
až	when / until	Přijdu, až bude čas.	I will come when there is time.
lze	it is possible	Lze to udělat.	It is possible to do it.
nechat	to let / to leave	Nech to tady.	Leave it here.
problém	problem	Nemám problém.	I don't have a problem.
někdo	someone	Někdo je v domě.	Someone is in the house.
oba	both	Oba jsme tady.	Both of us are here.
možný	possible	Je to možné.	It is possible.
vůbec	at all	Vůbec to nevím.	I don't know it at all.
cena	price	Cena je dobrá.	The price is good.
proti	against	Jsem proti.	I am against (it).
rád	glad / to like	Rád piju čaj.	I like to drink tea.
stále	still	Stále jsem tady.	I am still here.
řada	row / series	Je to dlouhá řada.	It is a long row.
možná	maybe	Možná přijdu.	Maybe I will come.
škola	school	Škola je velká.	The school is big.
pouze	only	Mám pouze kávu.	I only have coffee.
hrát	to play	Chci hrát hru.	I want to play a game.
jestli	if / whether	Nevím, jestli je doma.	I don't know if he is home.
nikdo	no one	Nikdo tu není.	No one is here.
firma	company	Ta firma je nová.	That company is new.
mladý	young	Ten muž je mladý.	That man is young.
totiž	you see / because	Jsem doma, jsem totiž nemocný.	I am home, because I am sick.
různý	different / various	Mám různé věci.	I have various things.
čekat	to wait	Čekám na tátu.	I am waiting for dad.
mluvit	to speak	Mluvím česky.	I speak Czech.
dlouhý	long	Cesta je dlouhá.	The journey is long.
kolem	around	Jdu kolem domu.	I go around the house.
váš	your (plural/formal)	To je váš dům.	That is your house.
málo	little / few	Mám málo času.	I have little time.
jediný	only / single	On je jediný syn.	He is the only son.
vrátit	to return	Chci vrátit tu knihu do knihovny.	I want to return that book to the library.
zase	again	Zase jsi zapomněl klíče doma.	You forgot your keys at home again.
snažit	to try	Snažím se mluvit česky každý den.	I am trying to speak Czech every day.
konec	end	Blíží se konec školního roku.	The end of the school year is approaching.
vypadat	to look (seem)	Vypadáš dnes velmi spokojeně.	You look very satisfied today.
koruna	crown (currency)	Má jen pár korun v peněžence.	He has only a few crowns in his wallet.
pohled	look, view	Na první pohled to vypadá snadné.	At first glance it looks easy.
vzít	to take	Můžeš vzít tu tašku, prosím?	Can you take that bag, please?
dokonce	even	Dokonce se naučil česky za rok.	He even learned Czech in a year.
patřit	to belong	Tohle kolo patří mému bratrovi.	This bike belongs to my brother.
způsob	way, manner	Najdeme lepší způsob, jak to udělat.	We will find a better way to do it.
hlavní	main	Hlavní problém je nedostatek času.	The main problem is a lack of time.
zůstat	to stay	Musel zůstat doma s dětmi.	He had to stay at home with the children.
dveře	door	Zavři dveře, je tu průvan.	Close the door, there is a draft here.
možnost	possibility	Máš možnost zůstat nebo odejít.	You have the possibility to stay or to leave.
žít	to live	Chce žít zdravěji než dřív.	He wants to live more healthily than before.
znát	to know	Neznám dobře tohle město.	I don’t know this city well.
trochu	a little	Mám dnes jen trochu času.	Today I have only a little time.
nakonec	in the end	Nakonec jsme zůstali doma.	In the end we stayed at home.
peníze	money	Šetří peníze na novou dovolenou.	He is saving money for a new holiday.
taky	also	Byl tam on a taky jeho bratr.	He was there and also his brother.
tělo	body	Po tréninku mě bolí celé tělo.	After training my whole body hurts.
daleko	far	Bydlí daleko.	He lives far away.
situace	situation	Tato situace je nová.	This situation is new.
stát	state, country	Česko je malý stát.	Czechia is a small country.
otázka	question	Mám jednu otázku.	I have one question.
kniha	book	Tato kniha je dobrá.	This book is good.
kvůli	because of	Přišel pozdě kvůli dešti.	He came late because of rain.
skupina	group	Skupina lidí čeká.	A group of people is waiting.
znovu	again	Zkusím to znovu.	I'll try again.
navíc	in addition	Dostal navíc peníze.	He got extra money.
cítit	to feel	Cítím se unaveně.	I feel tired.
ovšem	of course	Můžeš přijít, ovšem zavolej.	You can come, but call first.
ano	yes	Řekla ano.	She said yes.
dojít	to reach, to run out	Musíme dojít domů.	We must get home.
pan	Mr.	Pan Novák nepřijde.	Mr. Novak won't come.
otec	father	Můj otec pracuje.	My father works.
tisíc	thousand	Přišlo tisíc lidí.	A thousand people came.
mnoho	many, much	Má mnoho knih.	He has many books.
rodina	family	Moje rodina je velká.	My family is big.
ostatní	others	Ostatní odešli.	The others left.
měsíc	month	Za měsíc je Vánoce.	In a month it's Christmas.
čtyři	four	Máme čtyři psy.	We have four dogs.
především	above all	Především chci být zdravý.	Above all, I want to be healthy.
získat	to obtain	Chce získat nový telefon.	He wants to get a new phone.
matka	mother	Jeho matka vaří výborné tradiční jídlo.	His mother cooks excellent traditional food.
hned	immediately	Přijdu hned, jakmile skončím.	I'll come right away as soon as I finish.
změna	change	Potřebuje změnu, aby byl šťastný.	He needs a change to be happy.
dále	further	Pokračujte dále, dokud neuvidíte kostel.	Continue further until you see the church.
během	during	Během dne pracuji, večer odpočívám.	During the day I work, in the evening I rest.
jméno	name	Jaké je tvoje celé jméno?	What is your full name?
projekt	project	Pracuje na důležitém novém projektu.	He is working on an important new project.
pár	a few, couple	Mám pár volných minut teď.	I have a few free minutes now.
znamenat	to mean	Co toto slovo vlastně znamená?	What does this word actually mean?
týden	week	Za týden jedeme na dovolenou.	In a week we're going on vacation.
pracovat	to work	Pracuje v kanceláři od rána.	He works in an office from morning.
zde	here (formal)	Podepište se prosím na tomto místě.	Please sign here in this place.
dlouho	for a long time	Čekali jsme dlouho na vlak.	We waited a long time for the train.
auto	car	Jeho auto stojí před domem.	His car is parked in front of the house.
snad	hopefully	Snad zítra bude hezké počasí.	Hopefully tomorrow will have nice weather.
tvář	face	Má vždycky šťastnou a přátelskou tvář.	He always has a happy and friendly face.
zeptat	to ask	Chci se zeptat na jednu věc.	I want to ask about one thing.
výsledek	result	Výsledek zkoušky mě velmi potěšil.	The exam result pleased me very much.
díky	thanks to	Díky tobě jsme stihli vlak.	Thanks to you we caught the train.
někdy	sometimes	Někdy večer rád čtu knihy.	Sometimes in the evening I like to read books.
většina	majority	Většina lidí má ráda léto.	Most people like summer.
úplně	completely	Jsem úplně unavený po práci.	I am completely tired after work.
příliš	too (much)	To je příliš drahé pro mě.	That is too expensive for me.
slyšet	to hear	Slyším krásnou hudbu z dálky.	I hear beautiful music from afar.
rychle	quickly	Běž rychle, ať nám neujede tramvaj.	Run quickly so we don't miss the tram.
nyní	now (formal)	Nyní můžeme společně začít pracovat.	Now we can start working together.
li	if (in constructions)	Nevíš-li, klidně se zeptej.	If you don't know, just ask.
pět	five	Mám pět důvodů pro to.	I have five reasons for that.
téměř	almost	Film je téměř u konce.	The film is almost at the end.
podívat	to look at	Podívej se na ten krásný západ slunce.	Look at that beautiful sunset.
co	what	Nevím, co si mám myslet.	I don't know what to think.
známý	known, acquaintance	Je to můj starý dobrý známý.	He is my old good acquaintance.
ještě	still, yet	Ještě nemám hotový domácí úkol.	I still don't have my homework done.
noc	night	V noci rád poslouchám klidnou hudbu.	At night I like to listen to calm music.
síla	strength	Nemám dnes dost síly na cvičení.	I don't have enough strength for exercise today.
vztah	relationship	Mají spolu velmi hezký vztah.	They have a very nice relationship together.
noha	leg	Bolí mě noha po včerejším běhání.	My leg hurts after yesterday's running.
dost	enough	Mám dost peněz na večeři.	I have enough money for dinner.
spíš	rather	Spíš zůstanu doma dnes večer.	I'd rather stay home tonight.
program	program	Program začíná přesně v osm hodin.	The program starts exactly at eight o'clock.
rozhodnout	to decide	Musíš se brzy rozhodnout pro budoucnost.	You have to decide soon for your future.
přece	after all	Víš to přece sám nejlépe.	You know it best yourself, after all.
vlastně	actually	Vlastně bych rád šel domů.	Actually I would rather go home.
hlas	voice	Má opravdu krásný a silný hlas.	He has a really beautiful and strong voice.
jenom	only	Chci jenom trochu klidu dnes.	I just want a little peace today.
důvod	reason	Nemám důvod proč bych nešel.	I have no reason why I shouldn't go.
hra	game	Tahle hra je opravdu velmi zábavná.	This game is really very fun.
film	film	Ten film stojí za vidění určitě.	That film is definitely worth seeing.
opravdu	really	Je to opravdu velmi dobrý nápad.	It is a really very good idea.
minuta	minute	Za minutu budu u tebe hned.	In a minute I'll be with you right away.
pořád	still, always	Pořád prší, tak zůstaňme doma.	It's still raining, so let's stay home.
samozřejmě	of course	Samozřejmě ti rád pomohu s tím.	Of course I'll be happy to help you with that.
nejen	not only	Je nejen chytrý, ale také hodný.	He is not only smart, but also kind.
informace	information	Potřebuju více informací o tomto kurzu.	I need more information about this course.
objevit	to discover	Objevil skvělou kavárnu v centru města.	He discovered a great café in the city center.
prostor	space	V autě není dost prostoru pro zavazadla.	There isn't enough space in the car for luggage.
přitom	at the same time	Zpíval a přitom hrál na kytaru.	He sang and at the same time played guitar.
pravda	truth	Řekni mi prosím celou pravdu.	Tell me the whole truth please.
ukázat	to show	Můžeš mi ukázat, jak to funguje?	Can you show me how that works?
služba	service	Služba v této restauraci je výborná.	The service at this restaurant is excellent.
existovat	to exist	Toto místo skutečně existuje v horách.	This place actually exists in the mountains.
vždy	always	Vždy přijdeš včas na schůzku.	You always arrive on time for meetings.
uvést	to state, to list	Uveď prosím své jméno a adresu.	Please state your name and address.
evropský	European	Sleduje evropskou kulturu už dlouho.	He's followed European culture for a long time.
sedět	to sit	Rád sedí u okna.	He likes to sit by the window.
zcela	completely	Byl zcela spokojený s výsledkem.	He was completely satisfied with the result.
přímo	directly	Bydlí přímo naproti parku.	He lives right across from the park.
druh	kind, type	Jaký druh hudby posloucháš?	What kind of music do you listen to?
století	century	Stalo se to v minulém století.	It happened in the last century.
jistý	certain	Jsem si tím zcela jistý.	I am completely certain about that.
základní	basic	To je základní lidské právo.	That is a basic human right.
stačit	to be enough	Stačí nám ještě trochu času.	We still need a little more time.
kromě	besides	Kromě deště bude i vítr.	Besides rain, there will be wind too.
pomoci	to help	Můžeš mi prosím pomoci s tím?	Can you please help me with that?
potom	then	Nejdřív pracuji, potom odpočívám.	First I work, then I rest.
jinak	otherwise	Musíme jít, jinak nestihneme vlak.	We must go, otherwise we'll miss the train.
bílý	white	Má nové bílé kolo.	He has a new white bike.
tehdy	at that time	Tehdy to bylo úplně jiné.	At that time it was completely different.
plný	full	Autobus byl dnes úplně plný.	The bus was completely full today.
špatný	bad	To je opravdu špatný nápad.	That is a really bad idea.
vždycky	always	Vždycky ráno piju čerstvou kávu.	I always drink fresh coffee in the morning.
procento	percent	Dostal jsem slevu deset procent.	I got a ten percent discount.
podobný	similar	Máme podobný vkus na hudbu.	We have similar taste in music.
chodit	to go regularly	Chodím každý den na procházku.	I go for a walk every day.
zdát	to seem	Zdá se mi to velmi zajímavé.	It seems very interesting to me.
ulice	street	Bydlí v této krásné ulici.	He lives on this beautiful street.
zákon	law	Tento zákon platí pro všechny.	This law applies to everyone.
typ	type	Jaký typ filmu preferuješ nejvíc?	What type of film do you prefer most?
hodnota	value	To má pro mě velkou hodnotu.	That has great value to me.
pocit	feeling	Mám z toho velmi dobrý pocit.	I have a very good feeling about that.
stav	state, condition	Jeho zdravotní stav se zlepšuje.	His health condition is improving.
černý	black	Má nové černé auto.	He has a new black car.
okno	window	Prosím, otevři to okno dokořán.	Please open that window wide.
dávat	to give, to put	Dávám si kávu každý den.	I have coffee every day.
věřit	to believe	Věřím, že to zvládneš.	I believe you can handle it.
počet	number	Počet návštěvníků každým dnem roste.	The number of visitors grows every day.
právo	law, right	Máš právo se svobodně vyjádřit.	You have the right to express yourself freely.
směr	direction	Jdi prosím tímto směrem dál.	Please go further in this direction.
zatím	so far	Zatím se vše daří skvěle.	So far everything is going great.
zatímco	while	Vařím, zatímco ona uklízí.	I cook while she cleans.
otevřít	to open	Můžeš prosím otevřít to okno?	Can you please open that window?
platit	to pay	Vždycky platím kartou online.	I always pay by card online.
spolu	together	Rádi spolu trávíme volný čas.	We like to spend free time together.
smrt	death	Smrt je součástí života.	Death is a part of life.
stůl	table	Na stole stojí čerstvé květiny.	Fresh flowers stand on the table.
opět	again	Vidíme se opět příští týden.	We'll see each other again next week.
bod	point	Získal důležitý bod v diskuzi.	He gained an important point in the discussion.
tým	team	Náš tým pracuje opravdu skvěle.	Our team works really great.
zájem	interest	Mám velký zájem o umění.	I have great interest in art.
vláda	government	Vláda dnes oznámila nové opatření.	The government announced a new measure today.
silný	strong	Je to velmi silný argument.	That is a very strong argument.
prostě	simply	Prostě na to zapomeň teď.	Just forget about it now.
přesně	exactly	Přijdu přesně v pět hodin.	I'll arrive exactly at five o'clock.
trh	market	Každou sobotu chodím na trh.	Every Saturday I go to the market.
hlavně	mainly	Hlavně na to nezapomeň prosím.	Mainly, don't forget that please.
kraj	region	Bydlí v krásném horském kraji.	He lives in a beautiful mountain region.
jednotlivý	single, individual	Každý jednotlivý případ je jiný.	Each single case is different.
současný	current	To je současný světový trend.	That is a current global trend.
jednat	to act, to negotiate	Musíme rychle a rozhodně jednat.	We must act quickly and decisively.
světlo	light	Prosím, rozsviť to světlo teď.	Please turn on that light now.
podmínka	condition	To je základní podmínka úspěchu.	That is a basic condition for success.
zjistit	to find out	Musíme co nejdřív zjistit pravdu.	We must find out the truth as soon as possible.
lidský	human	Chybovat je zcela lidské.	To err is completely human.
tvůj	your (singular)	Kde je tvůj nový telefon?	Where is your new phone?
zda	whether	Nevím, zda to stihnu dnes.	I don't know whether I'll make it today.
zápas	match	Dnešní zápas bude velmi napínavý.	Today's match will be very exciting.
zejména	especially	Zejména děti to moc baví.	Especially children really enjoy that.
psát	to write	Píšu každý den do deníku.	I write in my diary every day.
těžký	heavy, difficult	To je opravdu těžké rozhodnutí.	That is a really difficult decision.
deset	ten	Mám deset minut na to.	I have ten minutes for that.
změnit	to change	Chci změnit svůj život úplně.	I want to change my life completely.
i	too, even	Já i moji přátelé to víme.	Both I and my friends know that.
pokračovat	to continue	Můžeme v tom pokračovat zítra?	Can we continue with that tomorrow?
no	well (discourse)	No, třeba to vyjde.	Well, maybe it will work out.
jet	to go (by vehicle)	Jedu zítra ráno do Prahy.	I'm going to Prague tomorrow morning.
prostředí	environment	To je ideální prostředí pro práci.	That is an ideal environment for work.
držet	to hold	Drž se pevně té zábradlí.	Hold tightly to that railing.
umět	to know how	Umím dobře vařit italská jídla.	I know how to cook Italian food well.
válka	war	Ta válka skončila před lety.	That war ended years ago.
nízký	low	To je velmi nízká cena.	That is a very low price.
hledat	to search	Hledám nové místo k bydlení.	I'm looking for a new place to live.
cíl	goal	Můj hlavní cíl je úspěch.	My main goal is success.
zároveň	at the same time	Učím se a zároveň pracuji.	I study and work at the same time.
představovat	to represent	To představuje velkou výzvu pro nás.	That represents a big challenge for us.
dívat	to look	Dívám se ráda na hvězdy.	I like to look at the stars.
určitý	certain	Mám na to určitý názor.	I have a certain opinion about that.
určitě	certainly	Určitě se tam podívám brzy.	I will certainly go there soon.
naopak	on the contrary	Naopak, myslím, že je to skvělé.	On the contrary, I think it's great.
skončit	to finish	Film skončil velmi překvapivým koncem.	The film ended with a very surprising ending.
více	more	Chci vědět o tom více.	I want to know more about that.
pokoj	room	Můj pokoj má krásný výhled.	My room has a beautiful view.
jednou	once	Jednou bych chtěl navštívit Japonsko.	One day I would like to visit Japan.
rodič	parent	Můj rodič mě vždy podporoval.	My parent always supported me.
vedle	next to	Bydlí hned vedle školy.	He lives right next to the school.
jasný	clear	To je úplně jasné každému.	That is completely clear to everyone.
používat	to use	Používám tento aplikaci každý den.	I use this app every day.
osoba	person	Každá osoba je jedinečná a důležitá.	Each person is unique and important.
řešení	solution	To je nejlepší řešení pro nás.	That is the best solution for us.
barva	colour	Jaká barva se ti líbí nejvíc?	What colour do you like the most?
kolo	bike, wheel	Na kole jezdím do práce.	I ride a bike to work.
začínat	to begin	Film začíná přesně v sedm.	The film begins exactly at seven.
považovat	to consider	Považuji ho za dobrého přítele.	I consider him a good friend.
jenže	but (however)	Chci jít, jenže prší venku.	I want to go, but it's raining outside.
funkce	function	Tato funkce nefunguje správně.	This function doesn't work properly.
stavba	building, construction	Ta stavba je opravdu vysoká.	That building is really tall.
základ	basis	To je základ všeho učení.	That is the basis of all learning.
podařit	to succeed	Podařilo se mi to dnes.	I succeeded in doing it today.
působit	to act, to affect	Lék působí rychle a účinně.	The medicine works quickly and effectively.
smysl	sense	Tohle opravdu nemá žádný smysl.	This really makes no sense at all.
číslo	number	Jaké je tvoje telefonní číslo?	What is your phone number?
skutečnost	reality, fact	Tato skutečnost je velmi důležitá.	This fact is very important.
role	role	Hraje hlavní roli v divadle.	He plays the main role in the theater.
sice	although	Je to sice drahé, ale...	It is expensive, although...
metr	metre	Pokoj měří přesně čtyři metry.	The room measures exactly four meters.
potřeba	need	Je potřeba více času na to.	More time is needed for that.
rozdíl	difference	Je velký rozdíl mezi nimi.	There is a big difference between them.
zpráva	message, report	Dostal jsem důležitou zprávu dnes.	I received an important message today.
představit	to introduce, to imagine	Rád bych ti představil svou sestru.	I would like to introduce my sister to you.
odpovědět	to answer	Musíš odpovědět na mou otázku.	You must answer my question.
zdroj	source	Tento zdroj energie je obnovitelný.	This energy source is renewable.
nabízet	to offer	Nabízím ti pomoc s úkolem.	I offer you help with the task.
domácí	home, domestic	Mám rád domácí čerstvý chléb.	I like fresh homemade bread.
energie	energy	Potřebuji více energie na práci.	I need more energy for work.
krok	step	Udělal jsem první krok dnes.	I took the first step today.
vyjít	to go out, to work out	Vyjdu ven na čerstvý vzduch.	I go out for some fresh air.
ležet	to lie (be lying)	Kniha leží na mém stole.	The book lies on my table.
sociální	social	To je vážný sociální problém.	That is a serious social problem.
prý	reportedly	Prý přijede zítra ráno.	Apparently he will arrive tomorrow morning.
brát	to take	Beru si knihu z police.	I take a book from the shelf.
třetí	third	Je třetí den v týdnu.	It is the third day of the week.
doma	at home	Jsem dnes večer doma sám.	I am at home alone tonight.
státní	state (adj.)	To je důležitá státní instituce.	That is an important state institution.
americký	American	Má rád americké akční filmy.	He likes American action films.
centrum	centre	Jdu do centra města pěšky.	I'm going to the city center on foot.
sledovat	to watch, to follow	Sleduji zajímavé zprávy každý den.	I watch interesting news every day.
paní	Mrs., lady	Ta paní bydlí vedle nás.	That lady lives next to us.
připravit	to prepare	Připravím večeři pro celou rodinu.	I prepare dinner for the whole family.
člen	member	Je aktivním členem našeho klubu.	He is an active member of our club.
vhodný	suitable	To není vhodný čas na to.	That is not a suitable time for that.
akce	event, action	Tato akce se koná zítra.	This event takes place tomorrow.
přesto	nevertheless	Byla zima, přesto jsme vyšli.	It was cold, nevertheless we went out.
kam	where to	Kam chceš jet na dovolenou?	Where do you want to go on vacation?
krásný	beautiful	To je opravdu krásný letní den.	That is a really beautiful summer day.
obraz	picture	Vidím krásný obraz na zdi.	I see a beautiful picture on the wall.
forma	form	Vyplň prosím tuto přihlašovací formu.	Please fill in this registration form.
období	period	To bylo opravdu hezké období.	That was a really nice period.
byt	flat	Mám malý byt v centru.	I have a small flat in the center.
mnohem	much	To je mnohem lepší než dříve.	It is much better than before.
činnost	activity	Tato činnost mě opravdu baví.	This activity really enjoys me.
obec	municipality	Naše obec má nového starostu.	Our municipality has a new mayor.
přítel	friend	Můj nejlepší přítel bydlí daleko.	My best friend lives far away.
republika	republic	Česká republika je krásná země.	The Czech Republic is a beautiful country.
proces	process	Tento proces trvá velmi dlouho.	This process takes a very long time.
skoro	almost	Už skoro dokončil svůj úkol.	He almost finished his task.
hráč	player	Ten hráč běží velmi rychle.	That player runs very quickly.
soud	court	Soud dnes vydal důležité rozhodnutí.	The court made an important decision today.
napsat	to write down	Musím napsat důležitý e-mail teď.	I must write an important email now.
výkon	performance	Jeho výkon byl opravdu vynikající.	His performance was really excellent.
trvat	to last	Film trvá přesně dvě hodiny.	The film lasts exactly two hours.
syn	son	Můj mladší syn studuje medicínu.	My younger son studies medicine.
materiál	material	Tento materiál je velmi odolný.	This material is very durable.
rámec	framework	To je v rámci našeho plánu.	That is within our plan.
politický	political	To je složitá politická otázka.	That is a complicated political question.
poté	afterwards	Najím se, poté půjdu spát.	I eat, afterwards I will go to sleep.
sem	here (direction)	Pojď sem a podívej se.	Come here and take a look.
zajímavý	interesting	To je velmi zajímavá myšlenka.	That is a very interesting idea.
bůh	God	Věřil upřímně v jednoho boha.	He sincerely believed in one God.
tvořit	to create	Rád tvořím nové věci doma.	I like to create new things at home.
bývat	used to be	Býval tam každý víkend.	He used to be there every weekend.
model	model	Má krásný model starého letadla.	He has a beautiful model of an old airplane.
