czech_word	english_translation	czech_sentence	english_sentence
z / ze	out of	Vycházím z velkého domu.	I exit from the big house.
z / ze	out of	Běžím z malé školy.	I run from the small school.
z / ze	out of	Odjíždím z nového města.	I depart from the new town.
z / ze	out of	Pes vybíhá z vysoké trávy.	The dog runs out of the tall grass.
z / ze	out of	Dítě vychází z teplé vody.	The child exits from the warm water.
vedle	next to	Pes sedí vedle velkého stolu.	The dog sits next to the big table.
vedle	next to	Kočka leží vedle malé židle.	The cat lies next to the small chair.
vedle	next to	Dítě hraje vedle nového okna.	The child plays next to the new window.
vedle	next to	Kniha leží vedle teplé lampy.	The book lies next to the warm lamp.
vedle	next to	Auto stojí vedle vysokého stromu.	The car stands next to the tall tree.
blízko	near	Bydlím blízko velkého parku.	I live near the big park.
blízko	near	Škola je blízko malé stanice.	The school is near the small station.
blízko	near	Hotel stojí blízko nového letiště.	The hotel stands near the new airport.
blízko	near	Kavárna je blízko vysoké budovy.	The café is near the tall building.
blízko	near	Park leží blízko modré řeky.	The park lies near the blue river.
daleko od	far from	Bydlím daleko od velkého města.	I live far from the big city.
daleko od	far from	Škola je daleko od malé vesnice.	The school is far from the small village.
daleko od	far from	Hotel stojí daleko od nového nádraží.	The hotel stands far from the new station.
daleko od	far from	Park je daleko od vysoké hory.	The park is far from the tall mountain.
daleko od	far from	Dům leží daleko od studené řeky.	The house lies far from the cold river.
proti	against	Auto narazilo proti velké zdi.	The car crashed against the big wall.
proti	against	Jdu proti silnému větru.	I walk against the strong wind.
proti	against	Plujeme proti rychlému proudu.	We sail against the fast current.
proti	against	Míč letí proti vysokému oknu.	The ball flies against the tall window.
proti	against	Děti běží proti studenému dešti.	The children run against the cold rain.
nahoře	upstairs	Pes je nahoře v domě.	The dog is upstairs in the house.
nahoře	upstairs	Kočka spí nahoře na půdě.	The cat sleeps upstairs in the attic.
nahoře	upstairs	Světlo svítí nahoře na stropě.	The light shines upstairs on the ceiling.
nahoře	upstairs	Dítě hraje nahoře v bytě.	The child plays upstairs in the apartment.
nahoře	upstairs	Muž pracuje nahoře v kanceláři.	The man works upstairs in the office.
dole	downstairs	Muž čeká dole v hale.	The man waits downstairs in the hall.
dole	downstairs	Žena pracuje dole v kuchyni.	The woman works downstairs in the kitchen.
dole	downstairs	Dítě hraje dole na zahradě.	The child plays downstairs in the garden.
dole	downstairs	Pes leží dole na zemi.	The dog lies downstairs on the ground.
dole	downstairs	Klíč je dole ve sklepě.	The key is downstairs in the cellar.
