kreslil	drew	Grafikem jsem kreslil loga a obrázky na plakáty.	As a graphic designer I drew logos and pictures for posters.
chyběly	were missing	Moje myš byla štětcem, ale barvy mi chyběly.	My mouse was a brush, but I was missing colours.
šil	sewed	Módním návrhářem jsem šil šaty z hedvábí a vlny.	As a fashion designer I sewed dresses from silk and wool.
díval	looked	Modelky je nosily, ale já se díval na švy.	Models wore them, but I looked at the seams.
stavěl	built	Webdesignérem jsem stavěl stránky s tlačítky a obrázky.	As a web designer I built pages with buttons and images.
bavily	entertained	Barevné kombinace mě bavily, i když klienti piplali.	Colour combinations entertained me, even though clients nitpicked.
počítal	calculated	Byl jsem inženýrem a počítal mosty a nosníky.	I was an engineer and calculated bridges and beams.
dávala	gave	Matematika mě nezabíjela, nýbrž mi dávala smysl.	Mathematics didn't kill me, but rather gave me meaning.
kreslil	drew	Architektem jsem kreslil plány domů s velkými okny.	As an architect I drew plans for houses with large windows.
stály	stood	Mé budovy stály roky, dokud je nezbourali.	My buildings stood for years until they were demolished.
navrhoval	designed	Projektantem jsem navrhoval interiéry pro kanceláře.	As a designer I designed interiors for offices.
měřil	measured	Každý centimetr jsem měřil, abych se vešel do rozpočtu.	I measured every centimetre to fit the budget.
sestavoval	assembled	Konstruktérem jsem sestavoval stroje z malých koleček.	As a constructor I assembled machines from small wheels.
slyšel	heard	Motory vrčely, ale já slyšel jejich duši.	Engines growled, but I heard their soul.
nespadla	didn't fall	Statikem jsem počítal zatížení, aby střecha nespadla.	As a structural engineer I calculated loads so the roof wouldn't fall.
ověřil	verified	Moje vzorce byly přesné, protože jsem je dvakrát ověřil.	My formulas were precise because I verified them twice.
míchal	mixed	Chemikem jsem míchal látky v baňkách a zkumavkách.	As a chemist I mixed substances in flasks and test tubes.
vybouchl	exploded	Jednou mi vybouchl kahan, ale přežil jsem jen tak.	Once my burner exploded, but I just barely survived.
zkoumal	examined	Biologem jsem zkoumal buňky pod mikroskopem.	As a biologist I examined cells under a microscope.
krásný	beautiful	Život byl malý, avšak nekonečně krásný a složitý.	Life was small, yet infinitely beautiful and complex.
studoval	studied	Fyzikem jsem studoval pohyb hvězd a padajících jablek.	As a physicist I studied the motion of stars and falling apples.
neobjevil	didn't discover	Newton mi byl vzorem, byť já nikdy neobjevil gravitaci.	Newton was my role model, although I never discovered gravity.
řešil	solved	Matematikem jsem řešil rovnice bez řešení.	As a mathematician I solved equations without solutions.
bavila	entertained	Přesto jsem je psal, protože mě bavila výzva.	Nevertheless I wrote them, because the challenge entertained me.
prováděl	conducted	Vědcem jsem prováděl pokusy, jež mnohdy selhaly.	As a scientist I conducted experiments that often failed.
posunul	moved	Každý neúspěch mě posunul k dalšímu nápadu.	Every failure moved me to the next idea.
hledal	searched	Výzkumníkem jsem hledal lék na vzácnou chorobu.	As a researcher I searched for a cure for a rare disease.
vzdal	gave up	Strávil jsem deset let, pak to vzdal s úsměvem.	I spent ten years, then gave it up with a smile.
četl	read	Byl jsem právníkem a četl paragrafy s mezerami.	I was a lawyer and read paragraphs with gaps.
byla	was	Soudní síň byla mým jevištěm, plným dramat.	The courtroom was my stage, full of drama.
obhajoval	defended	Advokátem jsem obhajoval viníky, i když byli vinni.	As an attorney I defended the guilty, even though they were guilty.
mluvil	spoke	Mluvil jsem vášnivě, protože každý má právo na hlas.	I spoke passionately, because everyone has the right to a voice.
vynášel	delivered	Soudcem jsem seděl na křesle a vynášel rozsudky.	As a judge I sat in the chair and delivered verdicts.
udeřilo	struck	Můj kladívko udeřilo, ač srdce mi často krvácelo.	My gavel struck, although my heart often bled.
žaloval	prosecuted	Státním zástupcem jsem žaloval zločince před soudem.	As a public prosecutor I prosecuted criminals in court.
skládal	assembled	Důkazy jsem skládal jako puzzle, leč některé chyběly.	I assembled the evidence like a puzzle, but some pieces were missing.
ověřoval	verified	Notářem jsem ověřoval podpisy a pečetil dokumenty.	As a notary I verified signatures and sealed documents.
červená	red	Má pečeť byla červená, jako kapka krve na papíře.	My seal was red, like a drop of blood on paper.
zabavoval	seized	Exekutorem jsem zabavoval majetek bez milosti.	As a bailiff I seized property without mercy.
musel	had to	Byla to smutná práce, ale někdo ji dělat musel.	It was sad work, but someone had to do it.
pomáhal	helped	Paralegalem jsem pomáhal právníkům s hromadou spisů.	As a paralegal I helped lawyers with piles of files.
třídil	sorted	Třídil jsem listiny, zatímco oni spali v křeslech.	I sorted documents while they slept in armchairs.
sčítal	added up	Účetním jsem sčítal čísla do nekonečných tabulek.	As an accountant I added up numbers into endless spreadsheets.
pečlivý	careful	Rozvaha vždy seděla, protože jsem byl pečlivý.	The balance always balanced, because I was careful.
předpovídal	predicted	Ekonomem jsem předpovídal krize a růsty na trzích.	As an economist I predicted crises and growths in the markets.
mýlil	was wrong	Mýlil jsem se v polovině případů, však to nikdo nevěděl.	I was wrong in half the cases, but nobody knew.
prohlížel	examined	Auditorem jsem prohlížel účetnictví cizích firem.	As an auditor I examined the accounts of foreign companies.
našel	found	Našel jsem podvody, i když je schovali hluboko.	I found frauds, even though they hid them deep.
půjčoval	lent	Bankéřem jsem půjčoval peníze a vybíral úroky.	As a banker I lent money and collected interest.
přicházeli	came	Klienti přicházeli s nadějí, odcházeli s dluhy.	Clients came with hope, left with debts.
radil	advised	Finančním poradcem jsem radil, kam uložit úspory.	As a financial advisor I advised where to put savings.
doporučil	recommended	Doporučil jsem zlato, ač cena klesla hned druhý den.	I recommended gold, although the price dropped the very next day.
hledal	searched	Daňovým poradcem jsem psal přiznání a hledal slevy.	As a tax advisor I wrote returns and searched for deductions.
zbožňovali	adored	Úřad mě nenáviděl, ale klienti mě zbožňovali.	The authorities hated me, but clients adored me.
prodával	sold	Makléřem jsem prodával byty a domy za provize.	As a real estate agent I sold flats and houses for commissions.
předával	handed over	Klíče jsem předával s úsměvem, přestože ceny lhaly.	I handed over the keys with a smile, even though the prices lied.
bral	took	Pokladním jsem seděl u kasy a bral peníze za zboží.	As a cashier I sat at the till and took money for goods.
počítaly	counted	Moje prsty počítaly mince, zatímco oči těkaly.	My fingers counted coins while my eyes wandered.
řídil	managed	Manažerem jsem řídil tým dvaceti mladých lidí.	As a manager I led a team of twenty young people.
motivoval	motivated	Motivoval jsem je řečmi, ale sám jsem byl unaven.	I motivated them with speeches, but I myself was tired.
vedl	led	Ředitelem jsem vedl celou firmu s pevnou rukou.	As a director I led the whole company with a firm hand.
rozhodoval	decided	Rozhodoval jsem o osudech, ač srdce mi bušilo.	I decided about fates, although my heart was pounding.
hlídal	monitored	Vedoucím projektu jsem hlídal termíny a rozpočty.	As a project manager I monitored deadlines and budgets.
zůstal	remained	Všichni na mě křičeli, leč já zůstal klidný.	Everyone shouted at me, but I remained calm.
založil	founded	Podnikatelem jsem založil tři firmy a dvě zkrachovaly.	As an entrepreneur I founded three companies and two went bankrupt.
vydělala	earned	Ta třetí vydělala, takže jsem mohl dýchat.	The third one made a profit, so I could breathe.
vyhledával	recruited	Personalistou jsem vyhledával nové zaměstnance.	As an HR specialist I recruited new employees.
hrál	played	Pohovory byly divadlem, kde každý hrál svou roli.	Interviews were theatre, where everyone played their role.
radil	advised	Konzultantem jsem radil firmám, jak ušetřit miliony.	As a consultant I advised companies on how to save millions.
drahé	expensive	Moje rady byly drahé, ale často k ničemu.	My advice was expensive, but often useless.
nosil	carried	Asistentem jsem nosil kafe a tiskl důležité papíry.	As an assistant I carried coffee and printed important papers.
neviděl	didn't see	Šéf mě neviděl, dokud něco neztratil.	The boss didn't see me until he lost something.
přepisoval	transcribed	Sekretářkou jsem přepisoval dopisy a přijímal hovory.	As a secretary I transcribed letters and answered calls.
příjemný	pleasant	Můj hlas byl příjemný, avšak uvnitř jsem křičel.	My voice was pleasant, but inside I was screaming.
razítkoval	stamped	Úředníkem jsem seděl za přepážkou a razítkoval žádosti.	As a clerk I sat behind the counter and stamped applications.
usmíval	smiled	Fronty byly dlouhé, ale já se usmíval dál.	The queues were long, but I kept smiling.
vítal	welcomed	Recepčním jsem vítal hosty v hotelu u dveří.	As a receptionist I welcomed guests at the hotel door.
ptal	asked	Každý cizinec se ptal, kam jít na večeři.	Every foreigner asked where to go for dinner.
smažil	fried	Kuchařem jsem smažil řízky a vařil husté omáčky.	As a cook I fried schnitzels and cooked thick sauces.
sypal	sprinkled	Moje polévky pálily, přestože jsem sypal málo pepře.	My soups were spicy, even though I sprinkled little pepper.
velel	commanded	Šéfkuchařem jsem velel kuchyni s deseti lidmi.	As a head chef I commanded a kitchen with ten people.
objímal	hugged	Křičel jsem na ně, ale večer jsem je objímal.	I shouted at them, but in the evening I hugged them.
přijímal	took	Číšníkem jsem nosil talíře a přijímal objednávky.	As a waiter I carried plates and took orders.
nezmizel	didn't disappear	Moje nohy bolely, ale úsměv nikdy nezmizel.	My feet hurt, but my smile never disappeared.
běhal	ran	Servírkou jsem běhal mezi stoly s džbánem vody.	As a waitress I ran between tables with a jug of water.
rozlil	spilled	Rozlil jsem víno na ubrus, však hosté se zasmáli.	I spilled wine on the tablecloth, but the guests laughed.
míchal	mixed	Barmanem jsem míchal koktejly za barem do rána.	As a bartender I mixed cocktails behind the bar until morning.
nepil	didn't drink	Každý nápoj měl příběh, ale já je nepil.	Every drink had a story, but I didn't drink them.
stlačoval	pressed	Baristou jsem stlačoval kávu a dělal pěnu z mléka.	As a barista I tamped coffee and made milk foam.
držela	kept	Vůně mě držela při životě, i když byla tma.	The smell kept me alive, even when it was dark.
czech_word	english_translation	czech_sentence	english_sentence
hnětl	kneaded	Pekařem jsem hnětl těsto za úsvitu v pekárně.	As a baker, I kneaded dough at dawn in the bakery.
voněl	smelled	Chléb voněl po celé ulici, až se sbíhaly sliny.	The bread smelled all down the street, making mouths water.
zdobil	decorated	Cukrářem jsem zdobil dorty krémem a čokoládou.	As a confectioner, I decorated cakes with cream and chocolate.
tlačily	pressed	Děti u výlohy tlačily nosy do skla.	Children at the window pressed their noses against the glass.
krájel	cut	Řezníkem jsem krájel maso a vykosťoval stehna.	As a butcher, I cut meat and boned thighs.
tekla	flowed	Krev tekla po prkénku, ale já byl zvyklý.	Blood flowed on the cutting board, but I was used to it.
evidoval	recorded	Skladníkem jsem evidoval zboží v regálech a paletách.	As a storekeeper, I recorded goods on shelves and pallets.
trápila	troubled	Ztracená krabice mě trápila celé týdny.	A lost box troubled me for weeks.
nabízel	offered	Prodavačem jsem nabízel zeleninu a chleba zákazníkům.	As a salesperson, I offered vegetables and bread to customers.
ukazovala	showed	Váha ukazovala gramy, já přidával i ubíral.	The scale showed grams; I added and subtracted.
bral	took	Pokladníkem jsem bral peníze a vydával drobné.	As a cashier, I took money and gave change.
cinkaly	jingled	Můj šuplík byl plný mincí, jež cinkaly jako zvonky.	My drawer was full of coins that jingled like little bells.
tahal	pulled	Elektrikářem jsem tahal dráty a zapojoval zásuvky.	As an electrician, I pulled wires and connected sockets.
šlehl	struck	Proud mě jednou šlehl, ale přežil jsem s jizvou.	Current struck me once, but I survived with a scar.
opravoval	repaired	Instalatérem jsem opravoval trubky pod dřezy v koupelnách.	As a plumber, I repaired pipes under bathroom sinks.
tekla	flowed	Voda tekla všude, dokud jsem ji nezastavil.	Water flowed everywhere until I stopped it.
vyráběl	made	Zámečníkem jsem vyráběl klíče a opravoval zámky.	As a locksmith, I made keys and repaired locks.
skrytý	hidden	Každý zámek měl svůj skrytý jazýček.	Every lock had its hidden latch.
šrouboval	tightened	Mechanikem jsem šrouboval motory a měnil oleje.	As a mechanic, I tightened engines and changed oils.
otevřené	open	Kapoty byly otevřené, jako knihy plné součástek.	Hoods were open, like books full of parts.
diagnostikoval	diagnosed	Automechanikem jsem diagnostikoval závady v dílně.	As a car mechanic, I diagnosed faults in the workshop.
jelo	drove	Auto vrzalo, ale po zásahu jelo jako vítr.	The car creaked, but after my work it drove like the wind.
hobloval	planed	Truhlářem jsem hobloval dřevo a vyráběl skříně.	As a carpenter, I planed wood and made cabinets.
voněly	smelled	Moje ruce voněly smrkem a dubem navždy.	My hands forever smelled of spruce and oak.
stavěl	built	Tesařem jsem stavěl krovy a střechy pro domy.	As a joiner, I built roof trusses and roofs for houses.
zatloukal	hammered	Klíny jsem zatloukal přesně, aby střecha nepadla.	I hammered wedges precisely so the roof wouldn't fall.
kladl	laid	Zedníkem jsem kladl cihly a míchal maltu na lešení.	As a bricklayer, I laid bricks and mixed mortar on scaffolding.
vadila	bother	Výška mi nevadila, protože jsem se nebál pádů.	Height didn't bother me, because I wasn't afraid of falling.
natíral	painted	Malířem pokojů jsem natíral zdi na bílo nebo žluto.	As a room painter, I painted walls white or yellow.
špinila	stained	Štětec byl mým přítelem, ač barva špinila vlasy.	The brush was my friend, even though paint stained my hair.
stál	stood	Pokrývačem jsem stál na střechách a skládal tašky.	As a roofer, I stood on roofs and laid tiles.
tekla	flowed	Déšť mi tekl za límec, ale práce musela být hotova.	Rain flowed down my collar, but the work had to be done.
ohýbal	bent	Klempířem jsem ohýbal plechy pro okapy a svody.	As a tinsmith, I bent sheets for gutters and downpipes.
držely	held	Kleště držely pevně, i když vítr foukal.	Pliers held tight, even when the wind blew.
spojoval	joined	Svářečem jsem spojoval kovy jiskrami a plamenem.	As a welder, I joined metals with sparks and flame.
chránila	protected	Moje maska chránila obličej, ale ne srdce.	My mask protected my face, but not my heart.
vystřihoval	cut out	Sklenářem jsem vystřihoval skla do oken a vitrín.	As a glazier, I cut glass for windows and display cases.
vyměňoval	replaced	Rozbité tabule jsem vyměňoval za svítání.	I replaced broken panes at dawn.
bil	struck	Kovářem jsem bil železo na kovadlině v dílně.	As a blacksmith, I struck iron on the anvil in the workshop.
vycházely	came out	Podkovy a meče vycházely z mých rukou žhavé.	Horseshoes and swords came out of my hands glowing hot.
spravoval	mended	Ševcem jsem spravoval boty a přibíjel podrážky.	As a shoemaker, I mended shoes and nailed on soles.
ožívaly	came to life	Staré střevíce ožívaly pod mým jehlou.	Old shoes came to life under my needle.
stříhal	cut	Krejčím jsem stříhal látky a šil kabáty na míru.	As a tailor, I cut fabrics and sewed tailored coats.
spěchal	was in a hurry	Můj metr byl vždy po ruce, i když čas spěchal.	My tape measure was always at hand, even when time was short.
vyšíval	embroidered	Švadlenou jsem vyšíval květiny na kapesníky a šaty.	As a seamstress, I embroidered flowers on handkerchiefs and dresses.
probodával	pierced	Jehla probodávala látku, jako básník probodává slova.	The needle pierced the fabric, like a poet pierces words.
opravoval	repaired	Hodinářem jsem opravoval staré hodiny s kolečky.	As a watchmaker, I repaired old clocks with little gears.
připomínalo	reminded	Každé tikání mi připomínalo plynoucí čas.	Every ticking reminded me of passing time.
vytvářel	created	Klenotníkem jsem vytvářel prsteny s diamanty a rubíny.	As a jeweller, I created rings with diamonds and rubies.
odhalila	revealed	Má lupa odhalila každou vryp v kameni.	My magnifying glass revealed every scratch in the stone.
tavil	melted	Zlatníkem jsem tavil zlato a lil ho do malých forem.	As a goldsmith, I melted gold and poured it into small moulds.
zářily	shone	Šperky zářily, ale já myslel na své ruce.	Jewels shone, but I thought about my hands.
tahal	hauled	Stavebním dělníkem jsem tahal pytle s cementem a pískem.	As a construction worker, I hauled bags of cement and sand.
křupala	cracked	Moje záda křupala, ale budovy rostly do výšky.	My back cracked, but buildings grew in height.
pracoval	worked	Dělníkem jsem pracoval v továrně u pásu bez konce.	As a factory worker, I worked at an endless conveyor belt.
nepočítal	didn't count	Vyráběl jsem šroubky, které nikdo nepočítal.	I made screws that nobody counted.
jezdil	drove	Řidičem jsem jezdil autem po celé republice.	As a driver, I drove across the whole country.
zpívalo	sang	Cesty byly dlouhé, ale rádio mi zpívalo.	The roads were long, but the radio sang to me.
vozil	transported	Řidičem autobusu jsem vozil cestující po linkách.	As a bus driver, I transported passengers along the routes.
mávaly	waved	Děti mi mávaly, zatímco jsem zvonil na konečné.	Children waved at me as I rang the bell at the terminus.
převážel	carried	Řidičem kamionu jsem převážel zboží přes hory.	As a truck driver, I carried goods over mountains.
spal	slept	Spal jsem v kabině, pod hvězdami Evropy.	I slept in the cab, under the stars of Europe.
fofil	raced	Strojvedoucím jsem fofil vlaky po kolejích jako šíp.	As an engine driver, I raced trains along the tracks like an arrow.
houkala	hooted	Píšťala houkala, když jsem míjel vesnice.	The whistle hooted as I passed villages.
létal	flew	Pilotem jsem létal nad mraky v kokpitu letadla.	As a pilot, I flew above the clouds in the cockpit.
přistál	landed	Obloha byla modrá, dokud jsem nepřistál.	The sky was blue until I landed.
roznašel	distributed	Letuškou jsem roznášel občerstvení v uličkách.	As a flight attendant, I distributed refreshments in the aisles.
měl	had	Úsměv jsem měl nalíčený, i když jsem zvracel.	I had a painted-on smile, even when I was throwing up.
kormidloval	steered	Kapitánem lodi jsem stál na můstku a kormidloval.	As a ship captain, I stood on the bridge and steered.
znal	knew	Moře bylo rozbouřené, ale já znal každý útes.	The sea was rough, but I knew every reef.
roznašel	delivered	Pošťákem jsem roznášel dopisy do schránek od rána.	As a postman, I delivered letters to mailboxes from morning.
těžká	heavy	Moje taška byla těžká, ale úsměv lehký.	My bag was heavy, but my smile was light.
nosil	carried	Doručovatelem jsem nosil zásilky na kole po městě.	As a courier, I carried parcels by bike around the city.
doručil	delivered	Balíky byly velké, avšak já je vždy doručil.	Packages were large, but I always delivered them.
spěchal	rushed	Kurýrem jsem spěchal s obálkami na poslední chvíli.	As a messenger, I rushed with envelopes at the last moment.
honil	chased	Čas mě honil, ale já honil čas zpět.	Time chased me, but I chased time back.
svítil	lit	Taxikářem jsem svítil žlutou ceduli za oknem auta.	As a taxi driver, I lit the yellow sign behind the car window.
vozil	drove	Vozil jsem opilce a zamilované páry domů.	I drove drunks and loving couples home.
vybíral	collected	Svozovým pracovníkem jsem vybíral odpadky z kontejnerů.	As a waste collector, I collected rubbish from containers.
leskly	shone	Smrad byl hrozný, ale ulice se leskly čistotou.	The stench was awful, but the streets shone with cleanliness.
hlídal	guarded	Policistou jsem hlídal pořádek v ulicích s odznakem.	As a policeman, I kept order in the streets with a badge.
přeběhl	ran across	Pískal jsem na píšťalku, když někdo přeběhl.	I blew my whistle when someone ran across.
chodil	walked	Strážníkem jsem chodil po náměstí a usmíval se.	As a city guard, I walked around the square and smiled.
vodil	led	Ztracené děti jsem vodil za ruku k rodičům.	I led lost children by the hand to their parents.
hasil	extinguished	Hasičem jsem hasil požáry a vytahoval lidi z domů.	As a firefighter, I extinguished fires and pulled people out of houses.
rudé	red	Můj oblek byl černý, ale srdce rudé.	My suit was black, but my heart was red.
sloužil	served	Vojákem jsem sloužil v kasárnách a cvičil střelbu.	As a soldier, I served in barracks and practiced shooting.
nezažil	didn't experience	Válku jsem nezažil, díky bohu, jen parády.	I didn't experience war, thank God, just parades.
stál	stood	Ochrankou jsem stál u vchodů a kontroloval průkazy.	As a security guard, I stood at entrances and checked IDs.
spali	slept	Noci byly dlouhé, zatímco ostatní spali.	Nights were long while others slept.
chránil	protected	Osobním strážcem jsem chránil celebritu před fanoušky.	As a bodyguard, I protected a celebrity from fans.
neviditelný	invisible	Mé tělo bylo štítem, ač jsem byl neviditelný.	My body was a shield, although I was invisible.
sledoval	watched	Detektivem jsem sledoval podezřelé v dešti a mlze.	As a detective, I watched suspects in rain and fog.
doplnil	completed	Můj klobouk byl mokrý, ale spis jsem doplnil.	My hat was wet, but I completed the file.
hlídal	guarded	Plavčíkem jsem hlídal bazén a skákal pro tonoucí.	As a lifeguard, I guarded the pool and jumped for drowning people.
pískala	whistled	Moje píšťalka pískala, když děti běhaly.	My whistle whistled when children ran.
hrál	acted	Hercem jsem stál na jevišti a hrál krále či žebráka.	As an actor, I stood on stage and played a king or a beggar.
tleskalo	applauded	Publikum tleskalo, zatímco já zapomínal text.	The audience applauded while I forgot the lines.
zpíval	sang	Zpěvákem jsem zpíval árie v opeře a na koncertech.	As a singer, I sang arias in opera and at concerts.
třásl	trembled	Můj hlas se třásl, jako listí ve větru.	My voice trembled like leaves in the wind.
točil	spun	Tanečníkem jsem se točil v baletu na špičkách bot.	As a dancer, I spun in ballet on the tips of my shoes.
krvácely	bled	Moje nohy krvácely, ale rytmus mě nesl.	My feet bled, but the rhythm carried me.
hrál	played	Hudebníkem jsem hrál na klavír a na housle v kapele.	As a musician, I played the piano and the violin in a band.
četl	read	Noty jsem četl zrakem, ač jsem je znal nazpaměť.	I read the notes by sight, although I knew them by heart.
řídil	directed	Režisérem jsem řídil herce a kameramany na place.	As a director, I directed actors and cameramen on set.
nevěděl	didn't know	Křičel jsem: „Akce!“, i když jsem nevěděl konec.	I shouted "Action!", even though I didn't know the ending.
psal	wrote	Scenáristou jsem psal dialogy pro filmy a seriály.	As a screenwriter, I wrote dialogues for films and series.
mluvily	spoke	Moje postavy mluvily, jako by žily uvnitř mě.	My characters spoke as if they lived inside me.
maloval	painted	Malířem jsem maloval obrazy na plátno štětcem a paletou.	As a painter, I painted pictures on canvas with brush and palette.
vznikla	was born	Barvy míchal dohromady, až vznikla duha.	I mixed colours together until a rainbow was born.
tesal	carved	Sochařem jsem tesal sochy z mramoru a pískovce.	As a sculptor, I carved statues from marble and sandstone.
plnily	filled	Prach mi plnil plíce, ale krása rostla.	Dust filled my lungs, but beauty grew.
mačkal	pressed	Fotografem jsem mačkal spoušť a chytal okamžiky.	As a photographer, I pressed the shutter and captured moments.
nevěsta	bride	Světlo bylo mé kouzlo, stín má nevěsta.	Light was my magic, shadow my bride.
