czech_word	english_translation	czech_sentence	english_sentence
tam	there	Tam jsem nebyl.	I wasn’t there.
náš	our	To je náš dům.	That is our house.
den	day	Dnes je hezký den.	Today is a nice day.
každý	every	Každý člověk to ví.	Every person knows it.
něco	something	Mám pro tebe něco.	I have something for you.
doba	time	V té době jsem studoval.	At that time I studied.
druhý	second	To je druhý pokus.	This is the second attempt.
protože	because	Nešel jsem, protože pršelo.	I didn’t go because it rained.
dítě	child	Dítě spí.	The child is sleeping.
ne	no	Ne, nechci to.	No, I don’t want it.
takový	such	Takový problém nechci.	I don’t want such a problem.
vidět	to see	Chci vidět město.	I want to see the city.
říkat	to say	Říkám pravdu.	I say the truth.
nic	nothing	Nic jsem nenašel.	I found nothing.
začít	to start	Chci začít znovu.	I want to start again.
život	life	Život je krátký.	Life is short.
český	Czech	Mluvím český jazyk.	I speak the Czech language.
místo	place	To je dobré místo.	That is a good place.
či	or (formal)	Je to čaj či káva?	Is it tea or coffee?
malý	small	Mám malý byt.	I have a small flat.
bez	without	Bez tebe to nejde.	It doesn’t work without you.
ruka	hand	Bolí mě ruka.	My hand hurts.
nějaký	some	Nějaký člověk volal.	Some person called.
kdy	when	Kdy přijdeš?	When will you come?
sám	alone	Zůstanu sám doma.	I will stay home alone.
teď	now	Teď musím jít.	Now I must go.
pokud	if	Pokud přijdeš, zavolám.	If you come, I will call.
dobře	well	Děláš to dobře.	You do it well.
dostat	to get	Dostal jsem dárek.	I got a gift.
myslet	to think	Myslím na tebe.	I think of you.
práce	work	Mám hodně práce.	I have a lot of work.
pod	under	Pod stolem je kočka.	There is a cat under the table.
strana	side	Na druhé straně je park.	On the other side is a park.
svět	world	Svět je velký.	The world is big.
tedy	so	Tedy půjdeme dál.	So we will continue.
přijít	to come	Přijdu zítra.	I will come tomorrow.
například	for example	Chci například čaj.	I want tea, for example.
vysoký	tall	Je vysoký muž.	He is a tall man.
země	country	Tato země je krásná.	This country is beautiful.
tenhle	this one	Tenhle je lepší.	This one is better.
tři	three	Mám tři knihy.	I have three books.
čas	time	Nemám čas.	I don’t have time.
dělat	to do	Dělám to správně.	I do it correctly.
žena	woman	Žena čeká venku.	The woman waits outside.
žádný	no/none	Nemám žádný problém.	I have no problem.
muž	man	Muž stojí u dveří.	The man stands at the door.
případ	case	V tom případě odejdu.	In that case I will leave.
kdo	who	Kdo to řekl?	Who said that?
třeba	maybe	Třeba přijde.	Maybe he will come.
starý	old	Je starý dům.	It is an old house.
hlava	head	Bolí mě hlava.	My head hurts.
několik	several	Mám několik otázek.	I have several questions.
velmi	very	Je to velmi dobré.	It is very good.
oko	eye	Mám modré oko.	I have a blue eye.
nad	above	Nad námi je strop.	Above us is the ceiling.
město	city	Město je velké.	The city is big.
poslední	last	To je poslední šance.	This is the last chance.
cesta	road	Cesta je dlouhá.	The road is long.
některý	some	To je některý problém.	That is some problem.
asi	probably	Asi přijdu pozdě.	I will probably come late.
jaký	what kind	Jaký film chceš?	What kind of movie do you want?
právě	just	Právě jsem přišel.	I just arrived.
přes	through	Jdu přes park.	I walk through the park.
dům	house	Dům je nový.	The house is new.
proto	therefore	Proto odešel.	Therefore he left.
věc	thing	To je dobrá věc.	That is a good thing.
tu	here	Tu čekám.	I wait here.
voda	water	Voda je studená.	The water is cold.
společnost	company	Společnost roste.	The company is growing.
najít	to find	Chci najít řešení.	I want to find a solution.
nikdy	never	Nikdy to neudělám.	I will never do it.
již	already	Již jsem tam byl.	I have already been there.
brzy	soon	Brzy přijdu.	I will come soon.
část	part	To je část problému.	That is part of the problem.
což	which	Což je zvláštní.	Which is strange.
udělat	to do	Udělám to hned.	I will do it now.
vlastní	own	Mám vlastní plán.	I have my own plan.
dokázat	to manage	Dokážu to sám.	I can manage it alone.
chvíle	moment	Počkej chvíli.	Wait a moment.
systém	system	Systém nefunguje.	The system doesn’t work.
kdyby	if	Kdyby pršelo, zůstaneme doma.	If it rained, we’d stay home.
hodina	hour	Trvá to hodinu.	It takes an hour.
proč	why	Proč to děláš.	Why do you do that.
stejně	anyway	Stejně odejdu.	I will leave anyway.
takže	so	Takže jdeme dál.	So we continue.
často	often	Často tam chodím.	I often go there.
dnes	today	Dnes nepracuji.	I don’t work today.
slovo	word	To je nové slovo.	That is a new word.
tady	here	Tady bydlím.	I live here.
až	until	Počkám až do rána.	I will wait until morning.
lze	can be	Lze to udělat.	It can be done.
nechat	to let	Nechám to být.	I will let it be.
problém	problem	To je velký problém.	That is a big problem.
někdo	someone	Někdo volal.	Someone called.
oba	both	Oba jsme přišli.	We both came.
možný	possible	Je to možné.	It is possible.
vůbec	at all	Vůbec to nechápu.	I don’t understand it at all.
cena	price	Cena je vysoká.	The price is high.
proti	against	Jdu proti větru.	I walk against the wind.
rád	glad	Mám rád hudbu.	I like music.
stále	still	Stále čekám.	I am still waiting.
řada	series	Řada lidí odešla.	A number of people left.
možná	maybe	Možná přijdu.	Maybe I will come.
škola	school	Škola je daleko.	The school is far.
pouze	only	Pouze čekám.	I am only waiting.
hrát	to play	Hraju fotbal.	I play football.
jestli	if	Jestli přijdeš, zavolám.	If you come, I’ll call.
nikdo	nobody	Nikdo tam není.	Nobody is there.
firma	company	Firma roste.	The company is growing.
mladý	young	Je mladý muž.	He is a young man.
totiž	namely	Je unavený, totiž pracoval.	He is tired, namely he worked.
různý	various	Mám různé knihy.	I have various books.
čekat	to wait	Čekám na tebe.	I wait for you.
mluvit	to speak	Mluvím česky.	I speak Czech.
koruna	crown	Mám jednu korunu.	I have one crown.
pohled	look	Jeho pohled byl vážný.	His look was serious.
vzít	to take	Vezmu si tu knihu.	I will take that book.
dokonce	even	Dokonce to udělal sám.	He even did it himself.
patřit	to belong	Ta věc patří mně.	That thing belongs to me.
způsob	method	To je dobrý způsob.	That is a good method.
hlavní	main	Hlavní problém je čas.	The main problem is time.
zůstat	to stay	Zůstanu doma.	I will stay home.
dveře	door	Dveře jsou otevřené.	The door is open.
možnost	possibility	Je možnost volby.	There is a possibility of choice.
vést	to lead	On vede tým.	He leads the team.
oblast	area	Oblast je velká.	The area is large.
moc	power	Má velkou moc.	He has great power.
potřebovat	to need	Potřebuji pomoc.	I need help.
stejný	same	Máme stejný problém.	We have the same problem.
milión	million	Stojí to milión korun.	It costs a million crowns.
pozdě	late	Přišel jsem pozdě.	I came late.
důležitý	important	Je to důležitý úkol.	It is an important task.
žít	to live	Chci žít v Praze.	I want to live in Prague.
znát	to know	Znám tu odpověď.	I know the answer.
trochu	a little	Trochu se bojím.	I am a little afraid.
nakonec	finally	Nakonec jsme odešli.	Finally we left.
peníze	money	Mám málo peněz.	I have little money.
taky	also	Taky jsem to viděl.	I also saw it.
tělo	body	Tělo bolí po cvičení.	The body hurts after exercise.
daleko	far	Je to daleko odsud.	It is far from here.
situace	situation	Situace je vážná.	The situation is serious.
stát	state	Stát má nové zákony.	The state has new laws.
otázka	question	Mám jednu otázku.	I have one question.
kniha	book	Kniha je na stole.	The book is on the table.
kvůli	because of	Kvůli práci nemůžu jít.	Because of work I cannot go.
skupina	group	Skupina čeká venku.	The group waits outside.
znovu	again	Zkusím to znovu.	I will try it again.
navíc	in addition	Navíc to není drahé.	In addition it is not expensive.
cítit	to feel	Cítím se dobře.	I feel well.
ovšem	however	Ovšem není to jisté.	However it is not certain.
ano	yes	Ano, chci to.	Yes, I want it.
dojít	to arrive	Dopis dojde zítra.	The letter will arrive tomorrow.
pan	mister	Pan Novák čeká venku.	Mr. Novák waits outside.
otec	father	Otec pracuje doma.	Father works at home.
tisíc	thousand	Mám tisíc korun.	I have a thousand crowns.
mnoho	many	Mnoho lidí odešlo.	Many people left.
rodina	family	Rodina je doma.	The family is at home.
ostatní	others	Ostatní čekají venku.	The others wait outside.
měsíc	month	Mám volný měsíc.	I have a free month.
čtyři	four	Mám čtyři otázky.	I have four questions.
především	above all	Především chci klid.	Above all I want peace.
získat	to obtain	Chci získat zkušenosti.	I want to gain experience.
matka	mother	Matka vaří oběd.	Mother cooks lunch.
hned	right away	Hned přijdu.	I will come right away.
změna	change	Změna je nutná.	The change is necessary.
dále	further	Dále budeme pracovat.	Further we will work.
během	during	Během dne pracuji.	I work during the day.
jméno	name	Mé jméno je Vincent.	My name is Vincent.
projekt	project	Projekt začíná dnes.	The project starts today.
pár	a few	Mám pár otázek.	I have a few questions.
znamenat	to mean	Co to znamená?	What does it mean?
týden	week	Týden je dlouhý.	The week is long.
pracovat	to work	Pracuji doma.	I work at home.
zde	here	Zde bydlím.	I live here.
dlouho	long	Dlouho čekám.	I wait for a long time.
auto	car	Auto je nové.	The car is new.
snad	hopefully	Snad to vyjde.	Hopefully it will work.
tvář	face	Jeho tvář je vážná.	His face is serious.
zeptat	to ask	Chci se zeptat.	I want to ask.
výsledek	result	Výsledek je dobrý.	The result is good.
díky	thanks	Díky za pomoc.	Thanks for the help.
někdy	sometimes	Někdy tam chodím.	Sometimes I go there.
většina	majority	Většina lidí souhlasí.	The majority of people agree.
úplně	completely	Je to úplně jasné.	It is completely clear.
příliš	too much	Příliš pracuji.	I work too much.
slyšet	to hear	Slyším hudbu.	I hear music.
rychle	quickly	Rychle běží.	He runs quickly.
nyní	now	Nyní začneme.	Now we begin.
li	whether	Nevím, li přijde.	I don’t know whether he will come.
pět	five	Mám pět knih.	I have five books.
téměř	almost	Téměř jsem to udělal.	I almost did it.
podívat	to look	Chci se podívat.	I want to look.
co	what	Co chceš?	What do you want?
známý	known	Je to známý člověk.	He is a known person.
ještě	still	Ještě čekám.	I am still waiting.
noc	night	Noc je tichá.	The night is quiet.
síla	strength	Má velkou sílu.	He has great strength.
vztah	relationship	Vztah je složitý.	The relationship is complicated.
noha	leg	Noha mě bolí.	My leg hurts.
dost	enough	Mám dost času.	I have enough time.
spíš	rather	Spíš bych šel domů.	I would rather go home.
program	program	Program začíná v osm.	The program starts at eight.
rozhodnout	to decide	Rozhodl jsem se.	I decided.
přece	after all	Přece to víš.	After all you know it.
vlastně	actually	Vlastně máš pravdu.	Actually you are right.
hlas	voice	Jeho hlas je tichý.	His voice is quiet.
jenom	only	Mám jenom jednu věc.	I have only one thing.
důvod	reason	Důvod je jasný.	The reason is clear.
hra	game	Hra je zábavná.	The game is fun.
film	movie	Film byl dobrý.	The movie was good.
opravdu	really	Opravdu to chci.	I really want it.
minuta	minute	Trvá to minutu.	It takes a minute.
pořád	still	Pořád čekám.	I am still waiting.
samozřejmě	of course	Samozřejmě přijdu.	Of course I will come.
nejen	not only	Nejen ty, ale i já.	Not only you, but also me.
informace	information	Informace jsou nové.	The information is new.
objevit	to discover	Chci objevit pravdu.	I want to discover the truth.
prostor	space	Prostor je malý.	The space is small.
přitom	at the same time	Přitom se usmíval.	At the same time he smiled.
pravda	truth	To je pravda.	That is true.
ukázat	to show	Ukážu ti to.	I will show you.
služba	service	Služba je drahá.	The service is expensive.
existovat	to exist	To neexistuje.	That does not exist.
vždy	always	Vždy přijdu včas.	I always come on time.
uvést	to state	Uvedl to v textu.	He stated it in the text.
evropský	European	To je evropský stát.	That is a European state.
sedět	to sit	Sedím u stolu.	I sit at the table.
zcela	completely	Je to zcela nové.	It is completely new.
přímo	directly	Přímo to řekl.	He said it directly.
druh	type	To je nový druh.	That is a new type.
století	century	Žijeme v novém století.	We live in a new century.
jistý	certain	Jsem si jistý.	I am certain.
základní	basic	To je základní věc.	That is a basic thing.
stačit	to be enough	To stačí.	That is enough.
kromě	except	Kromě tebe nikdo nepřišel.	Except you nobody came.
pomoci	to help	Pomůžu ti.	I will help you.
potom	then	Potom odejdu.	Then I will leave.
jinak	otherwise	Jinak to nejde.	Otherwise it doesn’t work.
bílý	white	Bílý papír leží na stole.	White paper lies on the table.
tehdy	at that time	Tehdy jsem tam byl.	I was there at that time.
plný	full	Je plný lidí.	It is full of people.
špatný	bad	To je špatný nápad.	That is a bad idea.
vždycky	always	Vždycky to říká.	He always says that.
procento	percent	Deset procent chybí.	Ten percent is missing.
podobný	similar	Je to podobný případ.	It is a similar case.
chodit	to walk	Chodím do školy.	I walk to school.
zdát	to seem	Zdá se to snadné.	It seems easy.
ulice	street	Ulice je prázdná.	The street is empty.
zákon	law	Zákon platí pro všechny.	The law applies to everyone.
typ	type	To je jiný typ.	That is another type.
hodnota	value	Hodnota je vysoká.	The value is high.
pocit	feeling	Mám dobrý pocit.	I have a good feeling.
stav	state	Stav je stabilní.	The state is stable.
černý	black	Černý kabát visí na věšáku.	A black coat hangs on the rack.
okno	window	Okno je otevřené.	The window is open.
dávat	to give	Dávám ti šanci.	I give you a chance.
věřit	to believe	Věřím ti.	I believe you.
počet	number	Počet lidí roste.	The number of people grows.
právo	right	Máš na to právo.	You have the right to it.
směr	direction	Směr je jasný.	The direction is clear.
zatím	for now	Zatím čekám.	For now I wait.
zatímco	while	Zatímco pracuji, poslouchám hudbu.	While I work, I listen to music.
otevřít	to open	Otevřu dveře.	I will open the door.
platit	to pay	Platím kartou.	I pay by card.
spolu	together	Pracujeme spolu.	We work together.
smrt	death	Smrt je těžké téma.	Death is a difficult topic.
stůl	table	Stůl je velký.	The table is big.
opět	again	Opět to udělal.	He did it again.
bod	point	To je hlavní bod.	That is the main point.
tým	team	Tým pracuje dobře.	The team works well.
zájem	interest	Mám zájem o práci.	I am interested in the job.
vláda	government	Vláda rozhodla.	The government decided.
silný	strong	Je silný muž.	He is a strong man.
prostě	simply	Prostě to udělej.	Simply do it.
přesně	exactly	Přesně tak.	Exactly so.
trh	market	Trh roste.	The market grows.
hlavně	mainly	Hlavně buď v klidu.	Mainly stay calm.
kraj	region	Kraj je velký.	The region is large.
jednotlivý	individual	Jednotlivý člověk rozhoduje.	The individual person decides.
současný	current	Současný stav je dobrý.	The current state is good.
jednat	to act	Jednám rychle.	I act quickly.
světlo	light	Světlo svítí.	The light shines.
podmínka	condition	Podmínka je jasná.	The condition is clear.
zjistit	to find out	Chci zjistit pravdu.	I want to find out the truth.
lidský	human	Lidský život je cenný.	Human life is valuable.
tvůj	your (singular)	To je tvůj dům.	That is your house.
zda	whether	Nevím, zda přijde.	I don’t know whether he will come.
zápas	match	Zápas začíná.	The match begins.
zejména	especially	Zejména to platí pro tebe.	Especially it applies to you.
psát	to write	Píšu dopis.	I am writing a letter.
těžký	heavy	Je to těžký úkol.	It is a heavy task.
deset	ten	Mám deset korun.	I have ten crowns.
změnit	to change	Chci změnit plán.	I want to change the plan.
i	even	I tebe znám.	I know even you.
pokračovat	to continue	Pokračujeme dál.	We continue further.
no	well	No, nevím.	Well, I don’t know.
jet	to go (by vehicle)	Jedu domů.	I am going home.
prostředí	environment	Prostředí je čisté.	The environment is clean.
držet	to hold	Držím knihu.	I hold a book.
umět	to be able	Umím česky.	I can speak Czech.
válka	war	Válka je hrozná.	War is terrible.
nízký	low	Nízký stůl je tady.	The low table is here.
hledat	to search	Hledám pravdu.	I search for the truth.
cíl	goal	Cíl je jasný.	The goal is clear.
zároveň	at the same time	Zároveň se usmíval.	He smiled at the same time.
představovat	to represent	To představuje problém.	That represents a problem.
dívat	to look	Dívám se ven.	I look outside.
určitý	certain	Určitý člověk volal.	A certain person called.
určitě	certainly	Určitě přijdu.	I will certainly come.
naopak	on the contrary	Naopak to pomáhá.	On the contrary it helps.
skončit	to end	Skončil jsem práci.	I finished the work.
více	more	Chci více času.	I want more time.
pokoj	room	Pokoj je tichý.	The room is quiet.
ednou	once	Ednou to zkusím.	I will try it once.
rodič	parent	Každý rodič má starosti.	Every parent has worries.
vedle	next to	Bydlím vedle školy.	I live next to the school.
jasný	clear	To je jasný důkaz.	That is clear evidence.
používat	to use	Používám nový telefon.	I use a new phone.
osoba	person	Každá osoba čeká venku.	Each person waits outside.
řešení	solution	Řešení je jednoduché.	The solution is simple.
barva	color	Barva je modrá.	The color is blue.
kolo	bicycle	Mám nové kolo.	I have a new bicycle.
začínat	to begin	Začínám pracovat.	I begin to work.
považovat	to consider	Považuji to za chybu.	I consider it a mistake.
jenže	but	Jenže to nejde.	But it doesn’t work.
funkce	function	Funkce je aktivní.	The function is active.
stavba	construction	Stavba pokračuje.	The construction continues.
základ	basis	Základ je pevný.	The basis is solid.
podařit	to succeed	Podařilo se mi to.	I succeeded.
působit	to affect	To na mě působí dobře.	It affects me well.
smysl	sense	To nemá smysl.	That makes no sense.
číslo	number	Číslo je správné.	The number is correct.
skutečnost	fact	Skutečnost je jiná.	The fact is different.
role	role	Hraje důležitou role.	He plays an important role.
sice	although	Sice prší, ale jdu ven.	Although it rains, I go outside.
metr	meter	Mám metr látky.	I have a meter of fabric.
potřeba	need	Je potřeba klid.	Calm is needed.
rozdíl	difference	Rozdíl je velký.	The difference is big.
zpráva	message	Přišla nová zpráva.	A new message arrived.
představit	to imagine	Nedokážu si to představit.	I cannot imagine it.
odpovědět	to answer	Odpovím později.	I will answer later.
zdroj	source	Zdroj je nejasný.	The source is unclear.
nabízet	to offer	Nabízím pomoc.	I offer help.
domácí	home	To je domácí úkol.	That is homework.
energie	energy	Energie je drahá.	Energy is expensive.
krok	step	Krok je jednoduchý.	The step is simple.
vyjít	to go out	Vyšel ven.	He went outside.
ležet	to lie	Ležím na posteli.	I lie on the bed.
sociální	social	Sociální síť je populární.	The social network is popular.
prý	supposedly	Prý přijde.	Supposedly he will come.
brát	to take	Beru si kabát.	I take my coat.
třetí	third	To je třetí pokus.	This is the third attempt.
doma	at home	Jsem doma.	I am at home.
státní	state	Státní úřad je zavřený.	The state office is closed.
americký	American	To je americký film.	That is an American movie.
centrum	center	Centrum je rušné.	The center is busy.
sledovat	to watch	Sleduji film.	I watch a movie.
paní	mrs	Paní Nováková čeká.	Mrs. Nováková is waiting.
připravit	to prepare	Připravím večeři.	I will prepare dinner.
člen	member	Je členem týmu.	He is a member of the team.
vhodný	suitable	To je vhodný čas.	That is a suitable time.
akce	event	Akce začíná v osm.	The event starts at eight.
přesto	despite	Přesto přišel.	Despite that he came.
kam	where	Kam jdeš.	Where are you going.
krásný	beautiful	To je krásný den.	That is a beautiful day.
obraz	picture	Obraz visí na zdi.	The picture hangs on the wall.
forma	form	Forma je jednoduchá.	The form is simple.
období	period	Období je krátké.	The period is short.
byt	apartment	Byt je malý.	The apartment is small.
mnohem	much	Mnohem lépe pracuje.	He works much better.
činnost	activity	Činnost je důležitá.	The activity is important.
obec	municipality	Obec je malá.	The municipality is small.
přítel	friend	Přítel čeká venku.	A friend waits outside.
republika	republic	Republika je stabilní.	The republic is stable.
proces	process	Proces trvá dlouho.	The process takes long.
skoro	almost	Skoro jsem to udělal.	I almost did it.
hráč	player	Hráč běží rychle.	The player runs fast.
soud	court	Soud rozhodl.	The court decided.
napsat	to write	Napíšu dopis.	I will write a letter.
výkon	performance	Výkon byl dobrý.	The performance was good.
trvat	to last	To trvá hodinu.	It lasts an hour.
syn	son	Syn spí.	The son is sleeping.
materiál	material	Materiál je pevný.	The material is solid.
rámec	frame	Rámec je široký.	The frame is wide.
politický	political	To je politický problém.	That is a political problem.
poté	afterwards	Poté odešel.	Afterwards he left.
sem	here	Pojď sem.	Come here.
zajímavý	interesting	To je zajímavý nápad.	That is an interesting idea.
bůh	god	Bůh je v textu zmíněn.	God is mentioned in the text.
tvořit	to create	Tvořím nový plán.	I create a new plan.
bývat	to tend to	Bývám doma večer.	I tend to be home in the evening.
model	model	Model je přesný.	The model is precise.
věnovat	to dedicate	Věnuji tomu čas.	I dedicate time to it.
skutečně	really	Skutečně to funguje.	It really works.
vydat	to publish	Vydal knihu.	He published a book.
srdce	heart	Srdce bije rychle.	The heart beats fast.
postavit	to build	Postavím dům.	I will build a house.
vlas	hair	Vlas je dlouhý.	The hair is long.
autor	author	Autor píše dobře.	The author writes well.
konečně	finally	Konečně jsem doma.	Finally I am home.
láska	love	Láska je silná.	Love is strong.
pražský	Prague (adj.)	Pražský dům je starý.	The Prague house is old.
pomoc	help	Potřebuji pomoc.	I need help.
dodat	to add	Dodám ještě jednu věc.	I will add one more thing.
polovina	half	Polovina lidí odešla.	Half of the people left.
veřejný	public	Veřejný prostor je čistý.	The public space is clean.
nutný	necessary	Je nutný klid.	Calm is necessary.
dílo	work	Dílo je dokončeno.	The work is finished.
schopný	able	Je schopný to udělat.	He is able to do it.
strom	tree	Strom roste rychle.	The tree grows fast.
stránka	page	Stránka je prázdná.	The page is empty.
rád	glad	Rád tě vidím.	I am glad to see you.
vytvořit	to create	Vytvořím nový účet.	I will create a new account.
příběh	story	Příběh je krátký.	The story is short.
zastavit	to stop	Zastavím auto.	I will stop the car.
jednoduchý	simple	To je jednoduchý úkol.	That is a simple task.
vývoj	development	Vývoj pokračuje.	The development continues.
tvrdit	to claim	Tvrdí, že to ví.	He claims he knows it.
společný	common	Máme společný plán.	We have a common plan.
začátek	beginning	Začátek je jasný.	The beginning is clear.
odejít	to leave	Odešel domů.	He left home.
pracovní	work	Pracovní den je dlouhý.	The workday is long.
národní	national	Národní muzeum je velké.	The national museum is big.
zřejmě	apparently	Zřejmě přijde pozdě.	Apparently he will come late.
domů	home	Jdu domů.	I am going home.
podpora	support	Podpora je nutná.	Support is necessary.
významný	significant	Je to významný krok.	It is a significant step.
vzduch	air	Vzduch je čistý.	The air is clean.
vzniknout	to arise	Problém vznikl včera.	The problem arose yesterday.
místní	local	Místní lidé pomáhají.	Local people help.
šest	six	Mám šest knih.	I have six books.
zařízení	device	Zařízení nefunguje.	The device doesn’t work.
úřad	office	Úřad je zavřený.	The office is closed.
lékař	doctor	Lékař přijde brzy.	The doctor will come soon.
podoba	form	Podoba je jasná.	The form is clear.
poprvé	for the first time	Poprvé to chápu.	I understand it for the first time.
klub	club	Klub je otevřený.	The club is open.
míra	rate	Míra růstu je vysoká.	The growth rate is high.
světový	world	To je světový rekord.	That is a world record.
součást	part	Je to součást plánu.	It is part of the plan.
množství	amount	Množství je malé.	The amount is small.
pohyb	movement	Pohyb je rychlý.	The movement is fast.
ředitel	director	Ředitel rozhodl.	The director decided.
volba	choice	Volba je tvoje.	The choice is yours.
názor	opinion	Můj názor je jiný.	My opinion is different.
myšlenka	thought	Myšlenka je dobrá.	The thought is good.
německý	German	Německý jazyk je těžký.	The German language is difficult.
okamžik	moment	V tom okamžiku odešel.	In that moment he left.
chybět	to be missing	Chybí mi čas.	I am missing time.
alespoň	at least	Alespoň to zkus.	At least try it.
mimo	outside	Mimo město je klid.	Outside the city is calm.
teprve	only then	Teprve začínám.	I am only just beginning.
síť	network	Síť nefunguje.	The network doesn’t work.
bývalý	former	Bývalý kolega volal.	A former colleague called.
plán	plan	Plán je hotový.	The plan is ready.
zkušenost	experience	Mám zkušenost s prací.	I have experience with the work.
rameno	shoulder	Rameno mě bolí.	My shoulder hurts.
úroveň	level	Úroveň je vysoká.	The level is high.
bát	to fear	Bojím se tmy.	I fear the dark.
jazyk	language	Jazyk je složitý.	The language is complex.
poznat	to recognize	Poznám ho podle hlasu.	I recognize him by voice.
les	forest	Les je tichý.	The forest is quiet.
chápat	to understand	Chápu to dobře.	I understand it well.
miliarda	billion	Má miliardu korun.	He has a billion crowns.
správný	correct	Správný výsledek je zde.	The correct result is here.
krátký	short	Krátký text stačí.	A short text is enough.
pole	field	Pole je široké.	The field is wide.
většinou	mostly	Většinou pracuji doma.	I mostly work at home.
najednou	suddenly	Najednou odešel.	Suddenly he left.
divadlo	theatre	Divadlo je plné.	The theatre is full.
letos	this year	Letos pracuji víc.	This year I work more.
pravý	right	To je pravý důvod.	That is the real reason.
prezident	president	Prezident vystoupil.	The president spoke.
zahrada	garden	Zahrada je zelená.	The garden is green.
střední	middle	Střední část je prázdná.	The middle part is empty.
číst	to read	Čtu knihu.	I read a book.
nemocnice	hospital	Nemocnice je daleko.	The hospital is far.
připadat	to seem	Připadá mi to zvláštní.	It seems strange to me.
vliv	influence	Vliv je silný.	The influence is strong.
samotný	alone	Samotný člověk čeká.	A lone person waits.
soutěž	competition	Soutěž začíná.	The competition begins.
policie	police	Policie přijela.	The police arrived.
věk	age	Věk není důležitý.	Age is not important.
včetně	including	Včetně tebe všichni přišli.	Including you, everyone came.
široký	wide	Široký stůl je tady.	The wide table is here.
životní	life	Life životní styl je zdravý.	The lifestyle is healthy.
pes	dog	Pes štěká.	The dog barks.
zvíře	animal	Zvíře spí.	The animal sleeps.
použít	to use	Použiju to zítra.	I will use it tomorrow.
spousta	a lot	Spousta lidí odešla.	A lot of people left.
prst	finger	Prst mě bolí.	My finger hurts.
zapomenout	to forget	Zapomněl jsem klíče.	I forgot my keys.
smět	to be allowed	Smím odejít.	I am allowed to leave.
obchod	shop	Obchod je otevřený.	The shop is open.
půl	half	Půl roku čekám.	I have waited half a year.
text	text	Text je krátký.	The text is short.
postup	procedure	Postup je jasný.	The procedure is clear.
ani	not even	Ani já to nevím.	Not even I know it.
téma	topic	Téma je zajímavé.	The topic is interesting.
vedení	leadership	Vedení rozhodlo.	The leadership decided.
líbit	to like	Líbí se mi to.	I like it.
budova	building	Budova je stará.	The building is old.
ptát	to ask	Ptám se na cestu.	I ask for directions.
telefon	phone	Telefon zvoní.	The phone rings.
koupit	to buy	Koupím nový počítač.	I will buy a new computer.
fungovat	to function	Systém funguje dobře.	The system works well.
plocha	area	Plocha je velká.	The area is large.
včera	yesterday	Včera jsem pracoval.	I worked yesterday.
zvednout	to lift	Zvednu krabici.	I will lift the box.
místnost	room	Místnost je prázdná.	The room is empty.
vybrat	to choose	Vyberu si to.	I will choose it.
jistě	surely	Jistě přijdu.	I will surely come.
