czech_word	english_translation	czech_sentence	english_sentence
uchopil	grabbed	Uchopil dezertní lžičku a poklepal s ní na stůl.	He grabbed a dessert spoon and tapped the table with it.
leželo	lay	Pár jídelních hůlek leželo křížem na utěrce.	A pair of chopsticks lay crossed on the dish towel.
plaval	floated	V hrnci plaval naběračka, jako by čekala na polévku.	In the pot floated a ladle, as if waiting for soup.
zkusil	tried	Zkusil naběračku na omáčku, ale ta byla suchá.	He tried the sauce ladle, but it was dry.
použil	used	Dlouhou naběračku na špagety použil jako páčidlo.	He used the long spaghetti ladle as a crowbar.
válela	rolled	Vařečka se válela pod stolem, pokrytá mastnotou.	A wooden spoon was rolling under the table, covered in grease.
visela	hung	Děrovaná lžíce visela na háčku, osamělá.	A slotted spoon hung on the hook, lonely.
ležela	lay	Obracečka ležela vedle prkénka, ale bez jídla.	A spatula lay next to the cutting board, but without food.
vypadla	fell out	Pinzeta na vaření mu vypadla z ruky.	Cooking tongs fell out of his hand.
vzal	took	Vzal škrabku a oloupal si zbytečně bramboru.	He took a peeler and unnecessarily peeled a potato.
mělo	had	Struhadlo mělo ostré zuby, které ho varovaly.	The grater had sharp teeth that warned him.
rozdrtil	crushe	Rozdrtil stroužek česneku lisem na česnek.	He crushed a clove of garlic with a garlic press.
vymačkal	squeezed	Vymačkal citrón lisem na citrusy a kápl si do oka.	He squeezed a lemon with a citrus press and dripped it into his eye.
otevřel	opened	Otevřel otvírák na konzervy a zkusil ho na prázdnou plechovku.	He opened the can opener and tried it on an empty tin can.
cvakl	clicked	Otvírák na lahve cvakl, ale lahev byla pryč.	The bottle opener clicked, but the bottle was gone.
trčela	was sticking	Vývrtka trčela v korku od vína, jež bylo dávno vypité.	A corkscrew was sticking in a wine cork from wine that had been drunk long ago.
našel	found	Našel váleček a rozválel po stole jen mouku.	He found a rolling pin and rolled out only flour on the table.
byl	was	Rozvalovací kolík byl zlomený na dva kusy.	The rolling pin was broken into two pieces.
visel	hung	Cedník visel nad dřezem jako němý svědek.	A colander hung over the sink like a mute witness.
bylo	was	Jemné sítko bylo plné starých čajových lístků.	A fine strainer was full of old tea leaves.
stál	stood	Šlehač stál v džbánu, ale šlehal jen vzduch.	A whisk stood in a pitcher, but it was whisking only air.
čekala	waited	Metla na něj čekala, avšak on ji nepotřeboval.	A beater waited for him, but he didn't need it.
byla	was	Mašlovačka byla mastná, ale krásně se leskla.	A butter curler was greasy, but it shone beautifully.
vzal	took	Vzal stěrku a seškrábl ze stolu neviditelnou skvrnu.	He took a spatula and scraped an invisible stain off the table.
bylo	was	Prkénko na něm kdysi krájeli cibuli, teď bylo suché.	The cutting board on which they once chopped onions, now was dry.
měla	had	Krájecí deska měla uprostřed hlubokou rýhu.	The chopping board had a deep groove in the middle.
podíval	looked	Znovu se podíval na minutku, ta však stála.	He looked at the timer again, but it stood still.
přestřihly	cut	Kuchyňské nůžky přestřihly jen vzduch.	Kitchen shears cut only air.
zakousl	bit into	Louskáček na ořechy se zakousl do prázdna.	The nutcracker bit into emptiness.
udeřil	struck	Paličkou na maso udeřil do stolu, až sklenice zacinkaly.	He struck the table with a meat mallet, making the glasses clink.
byla	was	Formička na led byla prázdná, jen v ní byla voda.	The ice cube tray was empty, only water was in it.
upustil	dropped	Tvořítko na ledo upustil a ono se rozbilo.	He dropped the ice mold and it broke.
ukazoval	showed	Teploměr na maso ukazoval pokojovou teplotu.	The meat thermometer showed room temperature.
nalil	poured	Nalil si vodu do odměrky a vypil ji.	He poured himself water into a measuring cup and drank it.
byl	was	Mělký talíř byl rozbitý na tři kusy.	A shallow plate was broken into three pieces.
stál	stood	Hluboký talíř stál na poličce, ale nebyl čistý.	A deep plate stood on the shelf, but it wasn't clean.
ležel	lay	Dezertní talíř ležel vzhůru nohama.	A dessert plate lay upside down.
zvedl	lifted	Zvedl misku a začal v ní míchat vzduch.	He lifted a bowl and started stirring air in it.
byla	was	Mísa byla prázdná, jako by v ní nic nebylo.	A bowl was empty, as if there was nothing in it.
obrátila	turned	Velká salátová mísa se k němu obrátila zády.	A large salad bowl turned its back on him.
uchopil	grabbed	Uchopil sklenici, ale ta byla pokrytá šmouhami.	He grabbed a glass, but it was covered in smudges.
byla	was	Malá sklenička byla plná starého octa.	A small glass was full of old vinegar.
třpytila	shone	Sklenice na víno se třpytila, i když víno bylo vypité.	A wine glass sparkled, although the wine had been drunk.
byla	was	Sklenice na vodu byla jediná, která se usmála.	A water glass was the only one that smiled.
vytáhl	pulled out	Vytáhl hrnek a postavil ho na stůl.	He pulled out a mug and placed it on the table.
válel	was rolling	Malý hrneček se válel v šuplíku.	A small mug was rolling in the drawer.
tvořily	formed	Šálek a k němu podšálek tvořily pár.	A cup and its saucer formed a pair.
byly	were	Všechny hrnce byly prázdné, až na jeden s pavučinou.	All the pots were empty, except for one with a cobweb.
našel	found	V kastrólu našel lžičku, ale nic víc.	In a saucepan he found a spoon, but nothing more.
měl	had	Rendlík měl připevněné dno.	A small saucepan had a loose bottom.
visela	hung	Pánev visela na zdi, černá a tichá.	A frying pan hung on the wall, black and silent.
zkusil	tried	Zkusil wok, ale byl příliš velký.	He tried the wok, but it was too big.
měla	had	Grilovací pánev měla na sobě staré grilovací stopy.	A grill pan had old grill marks on it.
vypadal	looked	Lívanečník vypadal jako malý měsíc.	A pancake pan looked like a small moon.
vložil	inserted	Vložil plech na pečení do trouby, ale ta byla studená.	He inserted a baking sheet into the oven, but it was cold.
byl	was	Pečicí plech byl zkroucený jako socha.	A baking tray was twisted like a sculpture.
byla	was	Zapékací mísa byla prázdná, ale voněla po česneku.	A casserole dish was empty, but smelled of garlic.
otevřel	opened	Otevřel dózu na potraviny a našel v ní starou rýži.	He opened a food container and found old rice in it.
držela	held	Chlebovka držela jen strouhanku.	A bread box held only breadcrumbs.
byla	was	Máslenka byla prázdná, bez másla.	A butter dish was empty, without butter.
převrátila	overturned	Cukřenka se převrátila a vysypal se cukr.	A sugar bowl overturned and the sugar spilled out.
stála	stood	Solnička stála vedle, ač byla plná.	A salt shaker stood next to it, although it was full.
skrývala	hid	Kořenka skrývala zázvor a pepř.	A spice jar hid ginger and pepper.
chyběl	was missing	V stojanu na kořenky chyběl jeden.	One was missing from the spice rack.
zatočil	turned	Zatočil mlýnkem na pepř a pepř se rozsypal.	He turned the pepper mill and pepper spilled out.
byla	was	Karafa byla plná červeného vína, ale on ho nepil.	A carafe was full of red wine, but he didn't drink it.
byl	was	Džbán byl plný vody, studené a svěží.	A pitcher was full of cold and fresh water.
pískl	whistled	Čajník pískl, ale nikdo ho neslyšel.	A tea kettle whistled, but no one heard it.
byl	was	Podnos byl prázdný, tak na něj položil kus chleba.	A tray was empty, so he placed a piece of bread on it.
byl	was	Táck byl malý, tak ho odložil.	A coaster was small, so he put it aside.
stála	stood	U odkapávače na nádobí stála mokrá sklenice.	A wet glass stood by the dish drainer.
namydlil	soaped	Namydlil houbičku na nádobí a setřel prach.	He soaped a dish sponge and wiped off the dust.
ležela	lay	Drátěnka ležela na dřezu, rezavá.	A steel wool pad lay on the sink, rusty.
visela	hung	Utěrka visela na madle a voněla.	A dish towel hung on the handle and smelled nice.
ležely	lay	Kousky papírových utěrek ležely všude kolem.	Pieces of paper towels lay all around.
zasekl	stuck	Zasekl je do stojanu na papírové utěrky.	He stuck them into the paper towel holder.
rozlil	spilled	Rozlil trochu mycího prostředku, ale nic se nestalo.	He spilled a little dish soap, but nothing happened.
vzal	took	Vzal chňapku, aby si chránil ruce.	He took an oven mitt to protect his hands.
oblékl	put on	Oblékl si kuchyňskou zástěru, ač byla špinavá.	He put on a kitchen apron, although it was dirty.
rozbalil	unwrapped	Rozbalil potravinovou fólii, ale ta se mu přilepila.	He unwrapped plastic wrap, but it stuck to him.
roztrhl	tore	Alobal se roztrhl na cucky.	Aluminum foil tore into shreds.
položil	placed	Položil pečicí papír na stůl, ale ten byl mastný.	He placed parchment paper on the table, but it was greasy.
vytáhl	pulled out	Vytáhl sáček na odpadky a vyhodil jednu sklenici.	He pulled out a trash bag and threw away one glass.
píchla	pricked	Špejle píchla do prstu, a on zasyčel.	A skewer pricked his finger, and he hissed.
vysypala	spilled out	Párátka se vysypala na zem jako malé šípy.	Toothpicks spilled onto the ground like little arrows.
našel	found	A pak, skrze všechny ty předměty, našel svou ztracenou chuť k jídlu.	And then, through all those objects, he found his lost appetite.
zasmála	laughed	Kuchyně se kolem něj zasmála, ale on se usmál zpátky.	The kitchen laughed around him, but he smiled back.
odešel	left	Odešel s prázdným hrncem a plným srdcem.	He left with an empty pot and a full heart.
